"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","22 Sep 2021","17580.90","17610.45","17524.00","17546.65"
"NIFTY 50","21 Sep 2021","17450.50","17578.35","17326.10","17562.00"
"NIFTY 50","20 Sep 2021","17443.85","17622.75","17361.80","17396.90"
"NIFTY 50","17 Sep 2021","17709.65","17792.95","17537.65","17585.15"
"NIFTY 50","16 Sep 2021","17539.20","17644.60","17510.45","17629.50"
"NIFTY 50","15 Sep 2021","17387.65","17532.70","17386.90","17519.45"
"NIFTY 50","14 Sep 2021","17420.35","17438.55","17367.05","17380.00"
"NIFTY 50","13 Sep 2021","17363.55","17378.35","17269.15","17355.30"
"NIFTY 50","09 Sep 2021","17312.85","17379.65","17302.70","17369.25"
"NIFTY 50","08 Sep 2021","17375.75","17383.40","17254.20","17353.50"
"NIFTY 50","07 Sep 2021","17401.55","17436.50","17287.00","17362.10"
"NIFTY 50","06 Sep 2021","17399.35","17429.55","17345.55","17377.80"
"NIFTY 50","03 Sep 2021","17262.45","17340.10","17212.20","17323.60"
"NIFTY 50","02 Sep 2021","17095.40","17245.50","17059.70","17234.15"
"NIFTY 50","01 Sep 2021","17185.60","17225.75","17055.05","17076.25"
"NIFTY 50","31 Aug 2021","16947.50","17153.50","16915.85","17132.20"
"NIFTY 50","30 Aug 2021","16775.85","16951.50","16764.85","16931.05"
"NIFTY 50","27 Aug 2021","16642.55","16722.05","16565.60","16705.20"
"NIFTY 50","26 Aug 2021","16627.95","16683.70","16603.40","16636.90"
"NIFTY 50","25 Aug 2021","16654.00","16712.45","16617.50","16634.65"
"NIFTY 50","24 Aug 2021","16561.40","16647.10","16495.30","16624.60"
"NIFTY 50","23 Aug 2021","16592.25","16592.50","16395.70","16496.45"
"NIFTY 50","20 Aug 2021","16382.50","16509.55","16376.05","16450.50"
"NIFTY 50","18 Aug 2021","16691.95","16701.85","16535.85","16568.85"
"NIFTY 50","17 Aug 2021","16545.25","16628.55","16495.40","16614.60"
"NIFTY 50","16 Aug 2021","16518.40","16589.40","16480.75","16563.05"
"NIFTY 50","13 Aug 2021","16385.70","16543.60","16376.30","16529.10"
"NIFTY 50","12 Aug 2021","16303.65","16375.50","16286.90","16364.40"
"NIFTY 50","11 Aug 2021","16327.30","16338.75","16162.55","16282.25"
"NIFTY 50","10 Aug 2021","16274.80","16359.25","16202.25","16280.10"
"NIFTY 50","09 Aug 2021","16281.35","16320.75","16179.05","16258.25"
"NIFTY 50","06 Aug 2021","16304.40","16336.75","16223.30","16238.20"
"NIFTY 50","05 Aug 2021","16288.95","16349.45","16210.30","16294.60"
"NIFTY 50","04 Aug 2021","16195.25","16290.20","16176.15","16258.80"
"NIFTY 50","03 Aug 2021","15951.55","16146.90","15914.35","16130.75"
"NIFTY 50","02 Aug 2021","15874.90","15892.90","15834.65","15885.15"
"NIFTY 50","30 Jul 2021","15800.60","15862.80","15744.85","15763.05"
"NIFTY 50","29 Jul 2021","15762.70","15817.35","15737.80","15778.45"
"NIFTY 50","28 Jul 2021","15761.55","15767.50","15513.45","15709.40"
"NIFTY 50","27 Jul 2021","15860.50","15881.55","15701.00","15746.45"
