"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","21 Sep 2017","10139.60","10158.90","10058.60","10121.90"
"NIFTY 50","20 Sep 2017","10160.95","10171.05","10134.20","10141.15"
"NIFTY 50","19 Sep 2017","10175.60","10178.95","10129.95","10147.55"
"NIFTY 50","18 Sep 2017","10133.10","10171.70","10131.30","10153.10"
"NIFTY 50","15 Sep 2017","10062.35","10115.15","10043.65","10085.40"
"NIFTY 50","14 Sep 2017","10107.40","10126.50","10070.35","10086.60"
"NIFTY 50","13 Sep 2017","10099.25","10131.95","10063.15","10079.30"
"NIFTY 50","12 Sep 2017","10056.85","10097.55","10028.05","10093.05"
"NIFTY 50","11 Sep 2017","9971.75","10028.65","9968.80","10006.05"
"NIFTY 50","08 Sep 2017","9958.65","9963.60","9913.30","9934.80"
"NIFTY 50","07 Sep 2017","9945.85","9964.85","9917.20","9929.90"
"NIFTY 50","06 Sep 2017","9899.25","9931.55","9882.55","9916.20"
"NIFTY 50","05 Sep 2017","9933.25","9963.10","9901.05","9952.20"
"NIFTY 50","04 Sep 2017","9984.15","9988.40","9861.00","9912.85"
"NIFTY 50","01 Sep 2017","9937.65","9983.45","9909.85","9974.40"
"NIFTY 50","31 Aug 2017","9905.70","9925.10","9856.95","9917.90"
"NIFTY 50","30 Aug 2017","9859.50","9909.45","9850.80","9884.40"
"NIFTY 50","29 Aug 2017","9886.40","9887.35","9783.75","9796.05"
"NIFTY 50","28 Aug 2017","9907.15","9925.75","9882.00","9912.80"
"NIFTY 50","24 Aug 2017","9881.20","9881.50","9848.85","9857.05"
"NIFTY 50","23 Aug 2017","9803.05","9857.90","9786.75","9852.50"
"NIFTY 50","22 Aug 2017","9815.75","9828.45","9752.60","9765.55"
"NIFTY 50","21 Aug 2017","9864.25","9884.35","9740.10","9754.35"
"NIFTY 50","18 Aug 2017","9865.95","9865.95","9783.65","9837.40"
"NIFTY 50","17 Aug 2017","9945.55","9947.80","9883.75","9904.15"
"NIFTY 50","16 Aug 2017","9825.85","9903.95","9773.85","9897.30"
"NIFTY 50","14 Aug 2017","9755.75","9818.30","9752.10","9794.15"
"NIFTY 50","11 Aug 2017","9712.15","9771.65","9685.55","9710.80"
"NIFTY 50","10 Aug 2017","9872.85","9892.65","9776.20","9820.25"
"NIFTY 50","09 Aug 2017","9961.15","9969.80","9893.05","9908.05"
"NIFTY 50","08 Aug 2017","10068.35","10083.80","9947.00","9978.55"
"NIFTY 50","07 Aug 2017","10074.80","10088.10","10046.35","10057.40"
"NIFTY 50","04 Aug 2017","10008.60","10075.25","9988.35","10066.40"
"NIFTY 50","03 Aug 2017","10081.15","10081.15","9998.25","10013.65"
"NIFTY 50","02 Aug 2017","10136.30","10137.85","10054.20","10081.50"
"NIFTY 50","01 Aug 2017","10101.05","10128.60","10065.75","10114.65"
"NIFTY 50","31 Jul 2017","10034.70","10085.90","10016.95","10077.10"
"NIFTY 50","28 Jul 2017","9996.55","10026.05","9944.50","10014.50"
"NIFTY 50","27 Jul 2017","10063.25","10114.85","10005.50","10020.55"
"NIFTY 50","26 Jul 2017","9983.65","10025.95","9965.95","10020.65"
"NIFTY 50","25 Jul 2017","10010.55","10011.30","9949.10","9964.55"
"NIFTY 50","24 Jul 2017","9936.80","9982.05","9919.60","9966.40"
"NIFTY 50","21 Jul 2017","9899.60","9924.70","9838.00","9915.25"
"NIFTY 50","20 Jul 2017","9920.20","9922.55","9863.45","9873.30"
"NIFTY 50","19 Jul 2017","9855.95","9905.05","9851.65","9899.60"
"NIFTY 50","18 Jul 2017","9832.70","9885.35","9792.05","9827.15"
"NIFTY 50","17 Jul 2017","9908.15","9928.20","9894.70","9915.95"
"NIFTY 50","14 Jul 2017","9913.30","9913.30","9845.45","9886.35"
"NIFTY 50","13 Jul 2017","9855.80","9897.25","9853.45","9891.70"
"NIFTY 50","12 Jul 2017","9807.30","9824.95","9787.70","9816.10"
"NIFTY 50","11 Jul 2017","9797.45","9830.05","9778.85","9786.05"
"NIFTY 50","10 Jul 2017","9719.30","9782.15","9646.45","9771.05"
"NIFTY 50","07 Jul 2017","9670.35","9684.25","9642.65","9665.80"
"NIFTY 50","06 Jul 2017","9653.60","9700.70","9639.95","9674.55"
"NIFTY 50","05 Jul 2017","9619.75","9643.65","9607.35","9637.60"
"NIFTY 50","04 Jul 2017","9645.90","9650.65","9595.50","9613.30"
"NIFTY 50","03 Jul 2017","9587.95","9624.00","9543.55","9615.00"
"NIFTY 50","30 Jun 2017","9478.50","9535.80","9448.75","9520.90"
"NIFTY 50","29 Jun 2017","9522.95","9575.80","9493.80","9504.10"
"NIFTY 50","28 Jun 2017","9520.20","9522.50","9474.35","9491.25"
"NIFTY 50","27 Jun 2017","9594.05","9615.40","9473.45","9511.40"
"NIFTY 50","23 Jun 2017","9643.25","9647.65","9565.30","9574.95"
"NIFTY 50","22 Jun 2017","9642.65","9698.85","9617.75","9630.00"
"NIFTY 50","21 Jun 2017","9648.10","9650.45","9608.60","9633.60"
"NIFTY 50","20 Jun 2017","9670.50","9676.50","9643.75","9653.50"
"NIFTY 50","19 Jun 2017","9626.40","9673.30","9614.90","9657.55"
"NIFTY 50","16 Jun 2017","9595.45","9615.85","9565.50","9588.05"
"NIFTY 50","15 Jun 2017","9617.90","9621.40","9560.80","9578.05"
"NIFTY 50","14 Jun 2017","9621.55","9627.40","9580.45","9618.15"
"NIFTY 50","13 Jun 2017","9615.55","9654.15","9595.40","9606.90"
"NIFTY 50","12 Jun 2017","9646.70","9647.05","9598.50","9616.40"
"NIFTY 50","09 Jun 2017","9638.55","9676.25","9608.15","9668.25"
"NIFTY 50","08 Jun 2017","9682.40","9688.70","9641.50","9647.25"
"NIFTY 50","07 Jun 2017","9663.95","9678.55","9630.55","9663.90"
"NIFTY 50","06 Jun 2017","9704.25","9709.30","9630.20","9637.15"
"NIFTY 50","05 Jun 2017","9656.30","9687.20","9640.70","9675.10"
"NIFTY 50","02 Jun 2017","9657.15","9673.50","9637.45","9653.50"
"NIFTY 50","01 Jun 2017","9603.55","9634.65","9589.90","9616.10"
"NIFTY 50","31 May 2017","9636.55","9649.60","9609.25","9621.25"
"NIFTY 50","30 May 2017","9590.65","9635.30","9581.20","9624.55"
"NIFTY 50","29 May 2017","9560.05","9637.75","9547.70","9604.90"
"NIFTY 50","26 May 2017","9507.75","9604.90","9495.40","9595.10"
"NIFTY 50","25 May 2017","9384.05","9523.30","9379.20","9509.75"
"NIFTY 50","24 May 2017","9410.90","9431.90","9341.65","9360.55"
"NIFTY 50","23 May 2017","9445.05","9448.05","9370.00","9386.15"
"NIFTY 50","22 May 2017","9480.25","9498.65","9427.90","9438.25"
"NIFTY 50","19 May 2017","9469.90","9505.75","9390.75","9427.90"
"NIFTY 50","18 May 2017","9453.20","9489.10","9418.10","9429.45"
"NIFTY 50","17 May 2017","9517.60","9532.60","9486.10","9525.75"
"NIFTY 50","16 May 2017","9461.00","9517.20","9456.35","9512.25"
"NIFTY 50","15 May 2017","9433.55","9449.25","9423.10","9445.40"
"NIFTY 50","12 May 2017","9436.65","9437.75","9372.55","9400.90"
"NIFTY 50","11 May 2017","9448.60","9450.65","9411.30","9422.40"
"NIFTY 50","10 May 2017","9339.65","9414.75","9336.00","9407.30"
"NIFTY 50","09 May 2017","9337.35","9338.95","9307.70","9316.85"
"NIFTY 50","08 May 2017","9311.45","9338.70","9297.95","9314.05"
"NIFTY 50","05 May 2017","9374.55","9377.10","9272.00","9285.30"
"NIFTY 50","04 May 2017","9360.95","9365.65","9323.25","9359.90"
"NIFTY 50","03 May 2017","9344.70","9346.30","9298.40","9311.95"
"NIFTY 50","02 May 2017","9339.85","9352.55","9269.90","9313.80"
"NIFTY 50","28 Apr 2017","9340.95","9342.65","9282.25","9304.05"
"NIFTY 50","27 Apr 2017","9359.15","9367.15","9322.65","9342.15"
"NIFTY 50","26 Apr 2017","9336.20","9367.00","9301.35","9351.85"
"NIFTY 50","25 Apr 2017","9273.05","9309.20","9250.35","9306.60"
"NIFTY 50","24 Apr 2017","9135.35","9225.40","9130.55","9217.95"
"NIFTY 50","21 Apr 2017","9179.10","9183.65","9088.75","9119.40"
"NIFTY 50","20 Apr 2017","9108.10","9143.90","9102.65","9136.40"
"NIFTY 50","19 Apr 2017","9112.20","9120.50","9075.15","9103.50"
"NIFTY 50","18 Apr 2017","9163.00","9217.90","9095.45","9105.15"
"NIFTY 50","17 Apr 2017","9144.75","9160.00","9120.25","9139.30"
"NIFTY 50","13 Apr 2017","9202.50","9202.65","9144.95","9150.80"
"NIFTY 50","12 Apr 2017","9242.50","9246.40","9161.80","9203.45"
"NIFTY 50","11 Apr 2017","9184.55","9242.70","9172.85","9237.00"
"NIFTY 50","10 Apr 2017","9225.60","9225.65","9174.85","9181.45"
"NIFTY 50","07 Apr 2017","9223.70","9250.50","9188.10","9198.30"
"NIFTY 50","06 Apr 2017","9245.80","9267.95","9218.85","9261.95"
"NIFTY 50","05 Apr 2017","9264.40","9273.90","9215.40","9265.15"
"NIFTY 50","03 Apr 2017","9220.60","9245.35","9192.40","9237.85"
"NIFTY 50","31 Mar 2017","9158.90","9191.70","9152.10","9173.75"
"NIFTY 50","30 Mar 2017","9142.60","9183.15","9136.35","9173.75"
"NIFTY 50","29 Mar 2017","9128.70","9153.15","9109.10","9143.80"
"NIFTY 50","28 Mar 2017","9081.50","9110.40","9079.80","9100.80"
"NIFTY 50","27 Mar 2017","9093.45","9094.85","9024.65","9045.20"
"NIFTY 50","24 Mar 2017","9104.00","9133.55","9089.40","9108.00"
"NIFTY 50","23 Mar 2017","9048.75","9099.05","9048.60","9086.30"
